name,Property," ",Related Glosarium,english
Umbral,6,6,"Metaestabilidad (Glosarium/Metaestabilidad%201b9598edb7908057854fecc821f446e8.csv), Masa Crítica (Glosarium/Masa%20Cr%C3%ADtica%201b9598edb79080829584fad79bc99e40.csv)",Threshold
Metaestabilidad,15,15,Umbral (Glosarium/Umbral%201b9598edb79080b3b824ce122880d6c5.csv),
Masa Crítica,12,12,Umbral (Glosarium/Umbral%201b9598edb79080b3b824ce122880d6c5.csv),
Contingente,11,11,,
Dimension,9,9,,
Invocar,7,7,Convocar (Glosarium/Convocar%201c4598edb7908002b6a7db3ce6e218df.csv),
Convocar,8,8,Invocar (Glosarium/Invocar%201c4598edb7908024bb38ffa2f6efcf44.csv),
Magnitud,8,8,,
Respeto,7,7,Ultraje (Glosarium/Ultraje%201da598edb790806d92d8fe83a5dc50ee.csv),
Ultraje,7,7,Respeto (Glosarium/Respeto%201da598edb79080068be8c8afe0f4a9f1.csv),
Normal,6,6,"Norma (Glosarium/Norma%2015f598edb79081df96ddc7db9b8d88a1.csv), Denotación (Glosarium/Denotaci%C3%B3n%2015f598edb7908191a427e0ed619e145d.csv), Connotación (Glosarium/Connotaci%C3%B3n%2015f598edb79081688fe7e770beafb35c.csv)",
Ridículo,8,8,,
Plantilla,9,9,Planilla (Glosarium/Planilla%201ff598edb7908047a083fde48fd535f6.csv),
Planilla,8,8,Plantilla (Glosarium/Plantilla%201ff598edb7908050a590ed6b2ed536ba.csv),
Humildad,8,8,,
Belief,6,6,Verdad (Glosarium/Verdad%20201598edb79080cd872ff32f605758c0.csv),
Verdad,6,6,"Belief (Glosarium/Belief%20201598edb79080f9a11de4dfb8262699.csv), Ciencia (Glosarium/Ciencia%2015f598edb790812aab9ee11c33626ba4.csv)",Truth
Logomaquia,10,10,,
Nudo Gordiano,13,13,,
Lambda,6,6,,
Patrón,6,6,Norma (Glosarium/Norma%2015f598edb79081df96ddc7db9b8d88a1.csv),Pattern
Principle,9,9,,
Explicación,11,11,,
Orden,5,5,,
Predicado,9,9,Proposicion (Glosarium/Proposicion%2015f598edb79081759a12ffa2c8f97de9.csv),
Conjugate,9,9,,
Property,8,8,,
C,1,1,,
Complexity,10,10,,
Geek,4,4,,
Conciencia,10,10,,
topic,5,5,,
Substrato,9,9,,
Notion,6,6,Significado (Glosarium/Significado%2016d598edb7908033935def1143473709.csv),
Teoría,6,6,,theory
Monto,5,5,Saldo (Glosarium/Saldo%20300598edb7908042a0a9d50f6c7775bb.csv),
Saldo,5,5,Monto (Glosarium/Monto%20300598edb7908036865bfcbeb88e3076.csv),
Mechanism,9,9,,
"(Ismo) Ism ",11,11,Creer (Glosarium/Creer%20319598edb79080e681befdd183d5401c.csv),
"Mathematical Theory ",20,20,,
Categoría,9,9,,
Creer,5,5,"(Ismo) Ism  (Glosarium/(Ismo)%20Ism%20310598edb790804391c7e2c448d0615e.csv), Ideology (Glosarium/Ideology%20319598edb79080c8b4f8d2b057d358f0.csv)",Believe
Ideology,8,8,Creer (Glosarium/Creer%20319598edb79080e681befdd183d5401c.csv),
Estrategia,10,10,,
